,geo_2,Country,Year,GDP_VALUE,Indicator,Unit_2,primary_energy_consumption,POP_VALUE,Unit_pop,Age class,Sex,GDP_capita,Energy_Intensity,Energy_per_capita
31,IT,Italy,2002,1608868.3,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",2101.48583984375,56993270,Number,Total,Total,0.028229092663046008,0.00130618885327267,3.6872526174472e-05
32,IT,Italy,2003,1609939.1,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",2170.0517578125,57186378,Number,Total,Total,0.028152492889128248,0.0013479092207975443,3.794700475369326e-05
33,FR,France,2003,1817528.0,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",3153.041748046875,61864088,Number,Total,Total,0.029379371114304637,0.0017347967943530307,5.09672388292037e-05
34,ES,Spain,2003,964843.7,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",1694.781005859375,41827838,Number,Total,Total,0.023067022971639126,0.0017565342509459046,4.051801591704011e-05
35,DE,Germany,2003,2416358.7,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",4010.470947265625,82536680,Number,Total,Total,0.029276179996578493,0.0016597167247005276,4.859016557566436e-05
36,DE,Germany,2004,2444438.9,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",4009.893310546875,82531671,Number,Total,Total,0.02961819226948646,0.0016404146205277928,4.8586115632468836e-05
37,ES,Spain,2004,994894.0,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",1744.4593505859375,42547451,Number,Total,Total,0.02338316342382062,0.001753412273655221,4.1000325744212915e-05
38,IT,Italy,2004,1633669.9,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",2224.656005859375,57611990,Number,Total,Total,0.02835642198785357,0.0013617536846699417,3.861446212601535e-05
39,FR,France,2004,1869659.3,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",3180.1298828125,62292241,Number,Total,Total,0.03001432072414926,0.0017009141092243383,5.105178159848993e-05
40,FR,France,2005,1904969.0,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",3154.0791015625,62772870,Number,Total,Total,0.03034701137609289,0.0016557115110862697,5.024589606246297e-05
41,IT,Italy,2005,1646125.2,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",2222.93017578125,58044368,Number,Total,Total,0.028359774715782934,0.0013504016436788951,3.829708639055645e-05
42,ES,Spain,2005,1030224.9,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",1770.329833984375,43296338,Number,Total,Total,0.02379473524989573,0.0017183916191351762,4.088867363296118e-05
43,DE,Germany,2005,2466084.0,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",3962.63525390625,82500849,Number,Total,Total,0.029891619660786763,0.001606853316394028,4.803144818432414e-05
44,DE,Germany,2006,2561439.6,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",4062.38720703125,82437995,Number,Total,Total,0.03107110501656427,0.0015859781378531237,4.927809327520945e-05
45,ES,Spain,2006,1071881.4,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",1783.066650390625,44009971,Number,Total,Total,0.024355421638428253,0.0016634924819020323,4.051506078907948e-05
